Date,POUND_Rate,Buy,Sell
13/10/2021,150.6926,150.5424,150.8429
12/10/2021,150.6429,150.4882,150.7976
8/10/2021,150.4606,150.3071,150.6141
7/10/2021,150.1988,150.0512,150.3465
6/10/2021,150.5476,150.3947,150.7006
5/10/2021,150.0129,149.8606,150.1653
4/10/2021,149.4488,149.2976,149.6
1/10/2021,148.9332,148.7812,149.0853
30/09/2021,149.6441,149.4906,149.7976
29/09/2021,150.5838,150.4294,150.7382
28/09/2021,151.1388,150.9876,151.29
27/09/2021,151.1721,151.0165,151.3276
24/09/2021,151.0376,150.8829,151.1924
23/09/2021,150.6809,150.53,150.8318
22/09/2021,150.8635,150.7112,151.0159
21/09/2021,151.1159,150.9618,151.27
20/09/2021,151.9518,151.8,152.1035
17/09/2021,152.2679,152.1165,152.4194
16/09/2021,152.1944,152.0371,152.3518
15/09/2021,152.3662,152.2118,152.5206
14/09/2021,151.8226,151.6706,151.9747
13/09/2021,152.1909,152.0388,152.3429
10/9/2021,151.8174,151.6624,151.9724
9/9/2021,151.6762,151.5206,151.8318
8/9/2021,151.7671,151.6129,151.9212
7/9/2021,152.27,152.1188,152.4212
6/9/2021,152.1194,151.9659,152.2729
3/9/2021,151.6062,151.45,151.7624
2/9/2021,151.4188,151.2647,151.5729
1/9/2021,151.5071,151.3571,151.6571
31/08/2021,151.1344,150.9829,151.2859
30/08/2021,150.6218,150.4706,150.7729
27/08/2021,150.7512,150.5994,150.9029
26/08/2021,150.4632,150.3112,150.6153
25/08/2021,150.3574,150.2112,150.5035
24/08/2021,149.9109,149.7641,150.0576
23/08/2021,149.2309,149.08,149.3818
20/08/2021,150.0015,149.8453,150.1576
19/08/2021,150.6941,150.5394,150.8488
18/08/2021,150.9315,150.7788,151.0841
17/08/2021,151.5621,151.4076,151.7165
16/08/2021,151.0238,150.8694,151.1782
13/08/2021,151.2518,151.0988,151.4047
12/8/2021,151.1394,150.9835,151.2953
11/8/2021,151.0909,150.9406,151.2412
10/8/2021,151.0715,150.9194,151.2235
9/8/2021,151.345,151.1929,151.4971
6/8/2021,151.3724,151.2159,151.5288
5/8/2021,151.2776,151.1224,151.4329
4/8/2021,151.0912,150.9347,151.2476
3/8/2021,151.1506,150.9912,151.31
2/8/2021,151.6091,151.4529,151.7653
30/07/2021,151.1982,151.0429,151.3535
29/07/2021,150.6288,150.4747,150.7829
28/07/2021,149.745,149.5929,149.8971
27/07/2021,149.5206,149.3647,149.6765
26/07/2021,148.9203,148.7641,149.0765
23/07/2021,148.7747,148.6194,148.93
22/07/2021,148.1356,147.9835,148.2876
21/07/2021,148.81,148.6553,148.9647
19/07/2021,149.6112,149.4576,149.7647
16/07/2021,149.8421,149.6865,149.9976
15/07/2021,149.8321,149.6788,149.9853
14/07/2021,149.5341,149.3818,149.6865
13/07/2021,149.4771,149.3194,149.6347
12/7/2021,149.1744,149.0171,149.3318
9/7/2021,148.7665,148.6106,148.9224
8/7/2021,149.0341,148.8759,149.1924
7/7/2021,149.5479,149.3912,149.7047
6/7/2021,149.2615,149.1094,149.4135
5/7/2021,148.6344,148.4818,148.7871
2/7/2021,149.0624,148.9082,149.2165
1/7/2021,149.3088,149.1547,149.4629
